target_return,stop_return,horizon_bars,bar_count,target_ratio_without_neutral,neutral_ratio,same_bar_target_stop_ratio,breakeven_precision,precision_gap_to_breakeven_label_only
0.0035,-0.0025,6,165750,0.39786942988745777,0.087052790346908,0.0667028657616893,0.7666666666666666,-0.36879723677920884
0.0035,-0.0025,9,165750,0.4004736635469041,0.047251885369532426,0.067420814479638,0.7666666666666666,-0.3661930031197625
0.0035,-0.0025,12,165750,0.4014312224973777,0.027927601809954752,0.0678552036199095,0.7666666666666666,-0.3652354441692889
0.0035,-0.0035,6,165750,0.47911060559824675,0.13008748114630467,0.05030467571644042,0.7999999999999999,-0.3208893944017532
0.0035,-0.0035,9,165750,0.47937659896621937,0.07557164404223228,0.05119758672699849,0.7999999999999999,-0.32062340103378056
0.0035,-0.0035,12,165750,0.4792256756328613,0.04787330316742081,0.05175867269984917,0.7999999999999999,-0.32077432436713865
0.0045,-0.0025,6,165750,0.338230143195632,0.12153846153846154,0.047408748114630465,0.6571428571428573,-0.31891271394722526
0.0045,-0.0025,9,165750,0.344204003503877,0.07019607843137254,0.04822322775263952,0.6571428571428573,-0.3129388536389803
0.0045,-0.0025,12,165750,0.34709910091673707,0.04310105580693816,0.04872398190045249,0.6571428571428573,-0.3100437562261202
0.0045,-0.0035,6,165750,0.41467972959161326,0.1735867269984917,0.03590950226244344,0.7,-0.2853202704083867
0.0045,-0.0035,9,165750,0.41889949731790427,0.10585218702865762,0.03697737556561086,0.7,-0.2811005026820957
0.0045,-0.0035,12,165750,0.42086433515671584,0.06912820512820513,0.037677224736048266,0.7,-0.2791356648432841
0.006,-0.0025,6,165750,0.2671648830038092,0.1684766214177979,0.03107692307692308,0.5411764705882353,-0.27401158758442606
0.006,-0.0025,9,165750,0.2784098180666977,0.10430769230769231,0.03208446455505279,0.5411764705882353,-0.2627666525215376
0.006,-0.0025,12,165750,0.28439558731125264,0.06863951734539969,0.03265761689291101,0.5411764705882353,-0.2567808832769826
0.006,-0.0035,6,165750,0.33435907902690226,0.23145098039215686,0.02456108597285068,0.5894736842105264,-0.2551146051836241
0.006,-0.0035,9,165750,0.34483076835709014,0.15009351432880844,0.025809954751131223,0.5894736842105264,-0.24464291585343623
0.006,-0.0035,12,165750,0.350842018152337,0.10328205128205128,0.02658823529411765,0.5894736842105264,-0.23863166605818936
